Close,Volume,sentiment
23.0,111701800.0,0.0
22.620001,61923500.0,1.0
20.6,80484900.0,0.0
16.42,83219500.0,1.0
19.76,67688700.0,0.0
20.889999,46134900.0,1.0
22.08,50887700.0,0.5
22.83,65124600.0,0.0
23.34,56752700.0,0.0
23.469999,54287700.0,0.5
23.790001,57724300.0,0.0
23.35,65126400.0,1.0
24.799999,66192500.0,0.75
23.110001,80950000.0,0.6
23.42,35261900.0,1.0
23.690001,46330200.0,0.16666666666666666
24.690001,45495600.0,0.6
24.68,55808000.0,1.0
24.82,53737100.0,0.0
24.780001,49900300.0,1.0
25.200001,44716600.0,1.0
25.26,68016500.0,0.25
25.940001,56302900.0,1.0
25.83,44358000.0,1.0
25.719999,63533400.0,0.0
26.579999999999995,61672700.0,0.6666666666666666
29.67,63949500.0,1.0
25.23,38181800.0,0.0
25.48,63114200.0,0.5
26.379999,52689000.0,0.8571428571428571
25.92,319317900.0,1.0
27.059999,49795400.0,0.0
27.33,71488700.0,1.0
26.98,39453300.0,0.0
24.790001,49204500.0,1.0
32.599998,65626400.0,1.0
32.200001,62495500.0,1.0
32.02,35697200.0,1.0
28.51,45715400.0,1.0
29.16,45301400.0,1.0
30.5,24920800.0,0.5
31.35,48371700.0,1.0
30.940001000000002,45047300.0,0.6
31.209999,36488500.0,1.0
30.16,47129900.0,1.0
29.49,54042700.0,1.0
29.66,43338900.0,1.0
28.950001,41488500.0,0.5
27.9,53320400.0,1.0
27.879999,54084300.0,0.3333333333333333
29.860001,43401500.0,1.0
27.360001,53018400.0,1.0
27.110001,45080100.0,0.0
26.809999,42077500.0,0.0
27.309999,53519900.0,0.0
26.549999,44703100.0,1.0
26.700001,49047900.0,0.6666666666666666
27.040001,41077400.0,1.0
27.25,51685900.0,0.5
27.25,52167700.0,1.0
27.15,58650600.0,1.0
27.879999,81847700.0,1.0
27.91,56056500.0,0.0
27.85,43580500.0,0.75
27.450001,50530000.0,0.5
27.549999,33318500.0,1.0
27.860001,32247700.0,0.5
28.030001,41715600.0,0.0
28.040001,32663200.0,1.0
27.809999,36394700.0,0.5
28.35,41432200.0,0.5
28.0,37667800.0,1.0
27.91,39255200.0,1.0
27.92,29093400.0,0.5
28.139999,55914800.0,0.0
28.040001,92710300.0,1.0
28.1,44809400.0,0.0
28.18,51901600.0,1.0
28.110001,34233200.0,1.0
28.799999,28456500.0,1.0
28.700001,50927300.0,0.0
28.59,34759500.0,1.0
30.83,137904000.0,0.5
31.76,90946600.0,0.5
31.940001,110700200.0,1.0
31.790001,47799300.0,0.0
32.610001,59116400.0,1.0
33.490002,46784600.0,0.0
34.869999,60666700.0,0.0
34.27,33174400.0,0.0
34.880001,38412200.0,0.0
34.900002,56165700.0,0.0
35.59,51252600.0,0.0
34.990002,65529500.0,0.0
34.720001,45654900.0,0.0
34.400002,53192600.0,0.0
35.0,49670100.0,0.75
34.98,28616500.0,1.0
33.27,85338500.0,0.5
33.720001,56109000.0,1.0
33.669998,44073400.0,0.0
34.619999,28993100.0,0.0
34.360001,31055400.0,0.0
33.939999,37630000.0,1.0
34.349998,25318500.0,1.0
35.669998,35501200.0,1.0
36.169998,34142600.0,1.0
32.009998,79040700.0,1.0
31.82,65810400.0,1.0
31.389999,63213000.0,0.5
