Close,Volume,sentiment
133.600006,17411400.0,0.0
149.309998,11566100.0,1.0
145.639999,8209900.0,0.5
149.44000200000002,23817800.0,0.375
149.660004,28813100.0,0.42857142857142855
156.839996,12643600.0,1.0
156.839996,9617200.0,1.0
165.169998,8808900.0,1.0
162.580002,9148800.0,1.0
170.270004,10196500.0,1.0
190.149994,6189400.0,0.8
187.229996,11959300.0,1.0
188.630005,17834200.0,0.5
184.369995,12750800.0,0.0
178.610001,10505700.0,1.0
172.160004,13586400.0,1.0
160.229996,3787900.0,1.0
162.399994,4589200.0,0.0
155.789993,7982300.0,0.6666666666666666
106.860001,24482500.0,0.5
94.580002,12000000.0,1.0
102.089996,5854800.0,1.0
107.68,8295100.0,1.0
108.580002,6138600.0,1.0
95.599998,8889900.0,1.0
97.25,15122900.0,1.0
91.010002,4290500.0,1.0
115.800003,5609600.0,1.0
117.110001,6448200.0,1.0
119.959999,7044100.0,0.0
115.330002,6637400.0,0.0
109.370003,4065900.0,0.0
99.870003,5656700.0,0.0
97.529999,5839700.0,1.0
96.860001,5177300.0,0.0
94.610001,5713200.0,0.0
92.209999,4682900.0,0.0
95.919998,3736900.0,1.0
95.129997,4516400.0,1.0
97.980003,9502200.0,0.0
95.959999,4578900.0,0.5
103.260002,3148200.0,0.0
103.599998,2509700.0,1.0
105.529999,2266900.0,1.0
106.410004,3249200.0,1.0
109.940002,6371600.0,1.0
113.540001,6521500.0,1.0
120.669998,5261600.0,1.0
121.360001,6187700.0,1.0
117.25,3681300.0,1.0
121.989998,4707200.0,0.0
124.919998,6712400.0,1.0
122.769997,3643000.0,1.0
122.389999,3679700.0,1.0
116.470001,3156600.0,1.0
117.699997,2075200.0,1.0
118.400002,3613900.0,0.0
118.089996,5372400.0,0.0
118.5,3329100.0,1.0
123.489998,5476700.0,1.0
130.940002,4584600.0,1.0
134.509995,5234600.0,0.0
141.089996,10650800.0,1.0
141.009995,6596000.0,0.6666666666666666
145.949997,5158400.0,0.0
147.860001,3680900.0,0.0
147.839996,3964800.0,1.0
146.679993,3374100.0,1.0
149.460007,3127600.0,1.0
149.070007,2951800.0,0.5
149.119995,3131400.0,1.0
144.110001,2235200.0,1.0
145.110001,2715300.0,1.0
150.259995,3519200.0,1.0
158.899994,4010100.0,1.0
159.339996,6176200.0,1.0
162.080002,4404800.0,1.0
158.300003,4138300.0,1.0
159.679993,3243900.0,0.0
164.149994,2060700.0,0.0
161.559998,3557100.0,0.0
153.059998,3274600.0,1.0
151.660004,3580400.0,0.5
151.75,2496100.0,0.6666666666666666
157.710007,2965700.0,0.0
164.059998,3119600.0,0.0
172.600006,3403500.0,1.0
166.839996,3198000.0,1.0
168.179993,3534100.0,0.0
162.300003,2630500.0,0.0
156.559998,6839900.0,0.0
154.919998,3639600.0,1.0
156.539993,3897800.0,1.0
158.880005,2561500.0,0.5
